,favorite_count,tweet_id,retweet_count
0,35002,892420643555336193,7349
1,30312,892177421306343426,5480
2,22797,891815181378084864,3624
3,38267,891689557279858688,7535
4,36546,891327558926688256,8119
5,18434,891087950875897856,2715
6,10724,890971913173991426,1758
7,58951,890729181411237888,16476
8,25365,890609185150312448,3769
9,28949,890240255349198849,6381
10,27914,890006608113172480,6408
11,25372,889880896479866881,4346
12,43582,889665388333682689,8736
13,24503,889638837579907072,3898
14,13808,889531135344209921,1968
15,22865,889278841981685760,4642
16,26479,888917238123831296,3910
17,23245,888804989199671297,3704
18,17921,888554962724278272,3012
19,19814,888078434458587136,3034
20,27556,887705289381826560,4716
21,42143,887517139158093824,10271
22,62350,887473957103951883,15688
23,30582,887343217045368832,9205
24,27882,887101392804085760,5208
25,31569,886983233522544640,6666
26,10859,886736880519319552,2767
27,20447,886680336477933568,3907
28,19192,886366144734445568,2762
29,107,886267009285017600,3
30,25439,886258384151887873,5521
31,0,886054160059072513,96
32,29595,885984800019947520,5859
33,32680,885528943205470208,5579
34,18621,885518971528720385,3262
35,0,885311592912609280,16139
36,19893,885167619883638784,3820
37,69869,884925521741709313,15762
38,25279,884876753390489601,4878
39,22087,884562892145688576,4099
40,24663,884441805382717440,4975
41,65800,884247878851493888,17733
42,18549,884162670584377345,2615
43,19862,883838122936631299,2983
44,41648,883482846933004288,8626
45,20616,883360690899218434,3214
46,33698,883117836046086144,5792
47,21718,882992080364220416,3388
48,25668,882762694511734784,4265
49,25489,882627270321602560,5290
50,40672,882268110199369728,10101
51,26641,882045870035918850,4247
52,22159,881906580714921986,2974
53,46085,881666595344535552,9330
54,114,881633300179243008,8
55,44977,881536004380872706,13994
56,21184,881268444196462592,4644
57,15556,880935762899988482,2441
58,19378,880872448815771648,3337
59,25860,880465832366813184,5433
60,24499,880221127280381952,3629
61,25131,880095782870896641,3802
62,20374,879862464715927552,3045
63,288,879674319642796034,10
64,21392,879492040517615616,2770
65,96116,879415818425184262,39046
66,15352,879376492567855104,2742
67,0,879130579576475649,5976
68,20523,879050749262655488,4127
69,17305,879008229531029506,2343
70,17674,878776093423087618,3599
71,27371,878604707211726852,6188
